Material,Trial,Target_D50,Common_Measured_Mean,P2AE_Total_Deviation,P2AE_Total_Deviation_Percent,AE2P_GPR_Prediction,AE2P_Estimation_Error,AE2P_Estimation_Error_Percent,AE2P_Est_Error_In_GPR_Range,num_AE2P_mu_GPR,num_AE2P_sigma_GPR,num_Common_AE_Last_mV2_mu_trial,num_Common_mu_trial,num_Common_sigma_trial,Common_Measured_D50,Common_AE_Last_mV2,AE2P_Predicted_D50,AE2P_Predicted_Sigma,AE2P_Estimation_Error_PM,AE2P_Estimation_Error_MP,AE2P_z_pred_PM,AE2P_z_pred_MP,AE2P_Estimation_Error_Percent_PM,AE2P_Estimation_Error_Percent_MP
MSG,2nd,50,59.22383525724199,,,52.31 ± 24.94,6.912789649255672,11.672310006992268,True,52.31104560798632,24.939527904335,426.598558207979,59.22383525724199,,59.22383525724199,426.598558207979,52.31104560798632,24.939527904335,-6.912789649255672,6.912789649255672,-0.2771820571653278,0.2771820571653278,-11.672310006992268,11.672310006992268
MSG,3rd,50,54.390941050657226,,,52.02 ± 29.23,2.3752707883993764,4.367033815773032,True,52.01567026225785,29.233327339244237,426.2964094936548,54.390941050657226,,54.390941050657226,426.2964094936548,52.01567026225785,29.233327339244237,-2.3752707883993764,2.3752707883993764,-0.0812521530934557,0.0812521530934557,-4.367033815773032,4.367033815773032
MSG,1st,100,146.6577888243003,,,91.88 ± 29.23,54.78137478037644,37.35319836712246,False,91.87641404392386,29.23337057590536,546.3795173187598,146.6577888243003,,146.6577888243003,546.3795173187598,91.87641404392386,29.23337057590536,-54.78137478037644,54.78137478037644,-1.873932895905208,1.873932895905208,-37.35319836712246,37.35319836712246
MSG,2nd,100,136.44270542061878,,,94.18 ± 29.23,42.266911763238255,30.97777314876594,False,94.17579365738052,29.23337057590536,689.2517558575216,136.44270542061878,,136.44270542061878,689.2517558575216,94.17579365738052,29.23337057590536,-42.266911763238255,42.266911763238255,-1.4458446265541258,1.4458446265541258,-30.97777314876594,30.97777314876594
MSG,3rd,100,93.1045625106424,,,91.36 ± 29.23,1.7442634832456037,1.8734457648584344,True,91.3602990273968,29.23337057590536,680.8959686935233,93.1045625106424,,93.1045625106424,680.8959686935233,91.3602990273968,29.23337057590536,-1.7442634832456037,1.7442634832456037,-0.0596668618391631,0.0596668618391631,-1.8734457648584344,1.8734457648584344
MSG,1st,200,223.93992350836493,,,165.23 ± 29.23,58.71248159617335,26.217960905028274,False,165.22744191219158,29.23337057590536,877.1062792545425,223.93992350836493,,223.93992350836493,877.1062792545425,165.22744191219158,29.23337057590536,-58.71248159617335,58.71248159617335,-2.008406161845913,2.008406161845913,-26.217960905028274,26.217960905028274
MSG,2nd,200,328.5137707652646,,,203.46 ± 29.23,125.05064545085769,38.06557185093195,False,203.4631253144069,29.23337057590536,1299.1680252932726,328.5137707652646,,328.5137707652646,1299.1680252932726,203.4631253144069,29.23337057590536,-125.05064545085769,125.05064545085769,-4.277667712868065,4.277667712868065,-38.06557185093195,38.06557185093195
MSG,3rd,200,248.87400775190187,,,205.60 ± 29.23,43.27004598471032,17.38632586647838,False,205.60396176719155,29.23337057590536,1183.435131962044,248.87400775190187,,248.87400775190187,1183.435131962044,205.60396176719155,29.23337057590536,-43.27004598471032,43.27004598471032,-1.480159322455079,1.480159322455079,-17.38632586647838,17.38632586647838
NaCl,1st,150,133.36230240096396,,,141.97 ± 13.93,-8.606048975982475,-6.453134672276225,True,141.96835137694643,13.932011765972174,26.603903026223183,133.36230240096396,,133.36230240096396,26.603903026223183,141.96835137694643,13.932011765972174,8.606048975982475,-8.606048975982475,0.6177176075175347,-0.6177176075175347,6.453134672276225,-6.453134672276225
NaCl,2nd,150,123.80627634317088,,,138.30 ± 13.93,-14.497802598212076,-11.71007078673986,False,138.30407894138295,13.93201177036804,38.585120094452925,123.80627634317088,,123.80627634317088,38.585120094452925,138.30407894138295,13.93201177036804,14.497802598212076,-14.497802598212076,1.0406108491127903,-1.0406108491127903,11.71007078673986,-11.71007078673986
NaCl,3rd,150,139.81226652875748,,,138.23 ± 13.93,1.5860869441901857,1.1344404776271535,True,138.2261795845673,13.93201177036804,39.77306708237987,139.81226652875748,,139.81226652875748,39.77306708237987,138.2261795845673,13.93201177036804,-1.5860869441901857,1.5860869441901857,-0.1138447892761352,0.1138447892761352,-1.1344404776271535,1.1344404776271535
NaCl,1st,200,196.0690531306577,,,197.36 ± 13.93,-1.2922011325959204,-0.6590540995446208,True,197.36125426325364,13.93201177036804,79.23163178626496,196.0690531306577,,196.0690531306577,79.23163178626496,197.36125426325364,13.93201177036804,1.2922011325959204,-1.2922011325959204,0.0927505053752753,-0.0927505053752753,0.6590540995446208,-0.6590540995446208
NaCl,2nd,200,204.38753093854237,,,197.80 ± 13.93,6.583507578816381,3.22109061574602,True,197.804023359726,13.93201177036804,72.45760694419909,204.38753093854237,,204.38753093854237,72.45760694419909,197.804023359726,13.93201177036804,-6.583507578816381,6.583507578816381,-0.4725453643973246,0.4725453643973246,-3.22109061574602,3.22109061574602
NaCl,3rd,200,189.5014959569752,,,194.47 ± 13.93,-4.970161587364856,-2.6227558586098403,True,194.47165754434005,13.93201177036804,63.84149383174835,189.5014959569752,,189.5014959569752,63.84149383174835,194.47165754434005,13.93201177036804,4.970161587364856,-4.970161587364856,0.3567439985900587,-0.3567439985900587,2.6227558586098403,-2.6227558586098403
NaCl,1st,250,223.63154378301903,,,244.58 ± 13.93,-20.946284356093287,-9.366426579077167,False,244.57782813911237,13.93201177036804,104.9352261362208,223.63154378301903,,223.63154378301903,104.9352261362208,244.57782813911237,13.93201177036804,20.946284356093287,-20.946284356093287,1.5034644458630078,-1.5034644458630078,9.366426579077167,-9.366426579077167
NaCl,2nd,250,252.0742303533549,,,253.39 ± 13.89,-1.314429612534667,-0.5214454530683735,True,253.3886599658896,13.89399976239296,116.95963071432588,252.0742303533549,,252.0742303533549,116.95963071432588,253.3886599658896,13.89399976239296,1.314429612534667,-1.314429612534667,0.0946041194050145,-0.0946041194050145,0.5214454530683735,-0.5214454530683735
NaCl,3rd,250,238.22189823722172,,,250.93 ± 12.80,-12.707883213853847,-5.334473156283607,True,250.9297814510756,12.799444426754208,108.10282882562086,238.22189823722172,,238.22189823722172,108.10282882562086,250.9297814510756,12.799444426754208,12.707883213853847,-12.707883213853847,0.992846469749189,-0.992846469749189,5.334473156283607,-5.334473156283607
