Material,Trial,Target_D50,Common_Measured_Mean,P2AE_Total_Deviation,P2AE_Total_Deviation_Percent,AE2P_GPR_Prediction,AE2P_Estimation_Error,AE2P_Estimation_Error_Percent,AE2P_Est_Error_In_GPR_Range,num_AE2P_mu_GPR,num_AE2P_sigma_GPR,num_Common_mu_trial,num_Common_sigma_trial,Common_Measured_D50,Common_AE_Last_mV2,P2AE_AE_Threshold,P2AE_Is_ExpectedCross,AE2P_Predicted_D50,AE2P_Predicted_Sigma
MSG,2nd,50,54.937551801733015,-4.937551801733015,-9.87510360346603,50.34 ± 12.41,4.601314219785671,8.375535619773506,True,50.336237581947344,12.408966475284805,54.937551801733015,,54.937551801733015,315.9486380917163,377.5492604393504,True,50.336237581947344,12.408966475284805
MSG,3rd,50,50.079034369876375,-0.07903436987637491,-0.15806873975274982,46.08 ± 12.47,4.001531966570134,7.99043355551828,True,46.07750240330624,12.469799815065103,50.079034369876375,,50.079034369876375,293.39404906690123,377.5492604393504,False,46.07750240330624,12.469799815065103
MSG,1st,100,129.25126539829577,-29.25126539829577,-29.25126539829577,104.31 ± 12.23,24.940478073896443,19.296119072444526,False,104.31078732439933,12.226434376198577,129.25126539829577,,129.25126539829577,487.197259822933,608.7189238019473,True,104.31078732439933,12.226434376198577
MSG,2nd,100,124.92381711475167,-24.92381711475167,-24.92381711475167,103.95 ± 12.23,20.972150999103235,16.787952436514793,False,103.95166611564844,12.225643408581393,124.92381711475167,,124.92381711475167,546.9780906606752,608.7189238019473,True,103.95166611564844,12.225643408581393
MSG,3rd,100,123.9249330540139,-23.924933054013906,-23.924933054013906,97.56 ± 12.21,26.36612788442146,21.275886324610337,False,97.55880516959245,12.213809818345993,123.9249330540139,,123.9249330540139,559.0162102192472,608.7189238019473,False,97.55880516959245,12.213809818345993
MSG,1st,200,179.5878697069383,20.412130293061693,10.206065146530847,170.23 ± 12.47,9.359113580235686,5.2114397233557135,True,170.22875612670262,12.4700935975288,179.5878697069383,,179.5878697069383,712.4591950806317,1065.475275937075,False,170.22875612670262,12.4700935975288
MSG,2nd,200,203.29037689684492,-3.2903768968449185,-1.645188448422459,173.00 ± 12.48,30.29124941775413,14.900483672734168,False,172.9991274790908,12.48404622294724,203.29037689684492,,203.29037689684492,808.3782100585063,1065.475275937075,False,172.9991274790908,12.48404622294724
MSG,3rd,200,189.03287160734268,10.967128392657315,5.483564196328658,193.24 ± 12.61,-4.209176047592848,-2.226689999364824,True,193.24204765493553,12.608076455719885,189.03287160734268,,189.03287160734268,890.9349256253014,1065.475275937075,False,193.24204765493553,12.608076455719885
NaCl,1st,150,133.36230240096396,16.637697599036045,11.091798399357364,141.88 ± 13.73,-8.514875113215084,-6.384769128846067,True,141.87717751417904,13.733038057762629,133.36230240096396,,133.36230240096396,26.603903026223186,46.951954492790826,True,141.87717751417904,13.733038057762629
NaCl,2nd,150,123.80627634317088,26.19372365682912,17.46248243788608,137.56 ± 13.64,-13.757120253040142,-11.111811662041786,False,137.56339659621102,13.636928861788535,123.80627634317088,,123.80627634317088,38.585120094452925,46.951954492790826,False,137.56339659621102,13.636928861788535
NaCl,3rd,150,139.81226652875748,10.187733471242524,6.791822314161683,137.47 ± 13.64,2.338900138749068,1.6728862186552051,True,137.4733663900084,13.635056498887488,139.81226652875748,,139.81226652875748,39.773067082379875,46.951954492790826,False,137.4733663900084,13.635056498887488
NaCl,1st,200,196.06905313065772,3.9309468693422787,1.9654734346711393,205.11 ± 14.25,-9.038382779029803,-4.609795699378805,True,205.10743590968752,14.24946059952794,196.06905313065772,,196.06905313065772,79.23163178626497,88.43383418322769,False,205.10743590968752,14.24946059952794
NaCl,2nd,200,204.38753093854234,-4.387530938542341,-2.1937654692711703,205.46 ± 14.24,-1.0676893598131016,-0.5223847829220791,True,205.45522029835544,14.24416404927702,204.38753093854234,,204.38753093854234,72.45760694419909,88.43383418322769,False,205.45522029835544,14.24416404927702
NaCl,3rd,200,189.5014959569752,10.498504043024809,5.2492520215124046,202.75 ± 14.28,-13.245379816385338,-6.989591163645799,True,202.74687577336053,14.284236121782161,189.5014959569752,,189.5014959569752,63.84149383174835,88.43383418322769,False,202.74687577336053,14.284236121782161
NaCl,1st,250,223.63154378301905,26.368456216980945,10.547382486792378,233.52 ± 14.29,-9.890573634920855,-4.422709546072486,True,233.5221174179399,14.289155638523612,223.63154378301905,,223.63154378301905,104.93522613622079,141.98144735194154,False,233.5221174179399,14.289155638523612
NaCl,2nd,250,252.07423035335492,-2.0742303533549205,-0.8296921413419682,242.62 ± 14.14,9.454553246718405,3.7507020187922873,True,242.61967710663652,14.143310337800495,252.07423035335492,,252.07423035335492,116.95963071432593,141.98144735194154,False,242.61967710663652,14.143310337800495
NaCl,3rd,250,238.22189823722175,11.778101762778249,4.7112407051113,239.76 ± 14.20,-1.5378585235861237,-0.645557161187055,True,239.75975676080787,14.19561295167135,238.22189823722175,,238.22189823722175,108.10282882562088,141.98144735194154,False,239.75975676080787,14.19561295167135
